Source, Target
Kyaru Pamyu Pamyu defines her vocabulary, Semiotics
Ressentiment, Friedrich Nietzsche (1844-1900)
Ideology, Hegemony
Ideology, Historicity
Ideology, Censorship
Mikhail Bakhtin (1895-1975), Intertextuality
Mikhail Bakhtin (1895-1975), Saussure
Mikhail Bakhtin (1895-1975), Julia Kristeva (b. 1941)
Selective exposure, Truthiness
Failure of the feminist icons of the past, Feminism
Failure of the feminist icons of the past, Gaga Feminism: Sex, Gender, and the end of Normal
Walter Benjamin (1892-1940), Frankfurt School
Allen, McLuhan, and impostor syndrome, Marshall McLuhan (1911-1980)
Reciprocal surveillance, Organised movement
Organised movement, Ritual walk
Organised movement, Scopic reciprocity
Organised movement, Michel Foucault (1926-84)
Organised movement, Ritual walk
Camile Paglia, Feminism
Societies of control, Gilles Deleuze
Societies of control, Michel Foucault (1926-84)
Negentropy, What is Life?
Logocentricity, Derrida
Idea of “place” in Japanese culture, Visualising the Birth of Modern Tokyo
Total institution, Erving Goffman
Micro-media, Lev Manovich
Language is public domain, Information theory
Language is public domain, Saussure
First nudity in Christian art, Fig Leaf Campaign
First nudity in Christian art, Renaissance
Simulacra and Simulation (1981), Jean Baudrillard (1929-2007)
Dichotomy of Meiji Restoration, Visualising the Birth of Modern Tokyo
Dichotomy of Meiji Restoration, The beginnings of the depiction of emperor of Japan
Scopic regime, The Imaginary Signifier – Le significant imaginaire
Scopic regime, Vocative regime
Regime of representations, Representation
Symbolic capital, Distinction: A Social Critique of the Judgement of Taste
Moga, Feminism
Moga, Visualising the Birth of Modern Tokyo
Frantz Fanon, Aimé Césaire
Frantz Fanon, Postcolonial theory
Frantz Fanon, Violence as the new form of self-expression
NRx — Neo-reactionary movement, Egalitarism
NRx — Neo-reactionary movement, Nick Land
NRx — Neo-reactionary movement, Accelerationism
NRx — Neo-reactionary movement, Neo-nazism
The Work of Representation, Mimesis / Reflective representation theory
The Work of Representation, Intentional Representation theory
The Work of Representation, Constructionist / constructivist representation theory
The Work of Representation, Instability of meaning and representation
The Work of Representation, Intentional Representation theory
The Work of Representation, Semiotics
The Work of Representation, Post-structuralism
The Work of Representation, Post-structuralism
The Work of Representation, Stuart Hall
Perfection is the curse -- perfect ear example, Meaning of perceived reality
Barthes terminology, Roland Barthes
Research — Semiotics, Marshall McLuhan (1911-1980)
Research — Semiotics, Visual Methodologies. 4th Edition [#Rose2019]
Hyperreality, Determinism
Hyperreality, Jean Baudrillard (1929-2007)
Theatre, Theatre of Ancient Greece (V-IV BCE)
Theatre, Medieval theatre (V-XVI)
Theatre, Commedia dell’arte (XV-XVIII)
Theatre, Shakespearean theatre (XVI-XVII)
Theatre, Classic theatre (XVII-XIX)
Leisure, Fordism
Musings, while reading Gaga Feminism, Jack Halberstam
Musings, while reading Gaga Feminism, Feminism
Musings, while reading Gaga Feminism, Gaga Feminism: Sex, Gender, and the end of Normal
Colonial racism, Black Skin, White Masks (1952)
Colonial racism, Alienation
Pragmatic belief, Post-truth
Pragmatic belief, Ideology
Cultural Theory and Museum Studies, by Rhiannon Mason, Scopic reciprocity
Philistines, Matthew Arnold
Convex throughput, Scopic Regime and Organised Walking — A Typological Study on the Modern Museum
Heterotopia, Judith Butler
Heterotopia, Michel Foucault (1926-84)
Distinction: A Social Critique of the Judgement of Taste, Bourdieu
Derrida’s responsibility, Derrida
Neo-nazism, Faschism
Linear time as false consciousness, Historicity
Linear time as false consciousness, Museum studies
Linear time as false consciousness, Hegemony
Reinforcement Schedule, Free will
Reinforcement Schedule, Hegemony
Mainstream semiology, Barthes' code guide, by Mrs. Fischer
Mainstream semiology, Framing selectivities
Mainstream semiology, Saussure
Mainstream semiology, Roland Barthes
Mainstream semiology, Uncanny valley -- bukimi no tani gensho 不気味の谷現象
Human rights studies, Black Skin, White Masks (1952)
Symbolic capital in museums as a method of oppression, Museum studies
Symbolic capital in museums as a method of oppression, Bourdieu
Visual Methodologies. 4th Edition [#Rose2019], Quote: Hall on meaning
Visual Methodologies. 4th Edition [#Rose2019], Visuals are inherently polysemic
Visual Methodologies. 4th Edition [#Rose2019], Visualisation of events
Dionysus, Oppenheimer's Gita
Orientalism, Edward Said
Platonic ideal, Plato
Ubermensch, Kalos kagathos καλὸς κἀγαθός
Ubermensch, Friedrich Nietzsche (1844-1900)
Nation State, Identity
Genette’s intertextuality, Post-structuralism
Genette’s intertextuality, Post-structuralism
Genette’s intertextuality, Intertextuality
Xennt (Herman-Johan Verwoert-Derksen, 1959), The Cold War Bunker That Became Home to a Dark-Web Empire
Public sphere, The Structural Transformation of the Public Sphere
Havelock Ellis (1859-1939), Margaret Sanger (1879-1966)
Cultural identity, Identity
Cultural identity, Stuart Hall
Hyperreality of physical objects -- supermarket, Hyperreality
Hyperreality of physical objects -- supermarket, Culture industry
Hyperreality of physical objects -- supermarket, Simulacra
Hyperreality of physical objects -- supermarket, Jean Baudrillard (1929-2007)
Museums’ use of plurality of interpretation, Ritual walk
Museums’ use of plurality of interpretation, Museum studies
Museums’ use of plurality of interpretation, Ritual walk
Episteme, The Work of Representation
Episteme, Michel Foucault (1926-84)
Reason for failure of Russian revolution, Marxism
Atomisation, Culture
Dehumanisation, Discourse
Dehumanisation, Frantz Fanon
Dehumanisation, Jean-Paul Sartre
Visualisation of events, Visualising the Birth of Modern Tokyo
Rickshaw, Visual Methodologies. 4th Edition [#Rose2019]
Cultural assimilation, Postcolonial theory
Cultural assimilation, Orientalism
Cultural assimilation, Alienation
Cultural assimilation, Cultural identity
Cultural assimilation, Colonial racism
Cultural assimilation, Frantz Fanon
Marxism, Karl Marx (1818-1883)
Marxism, Alienation
Scopic Regime and Organised Walking — A Typological Study on the Modern Museum, Museums are tools of manufacturing consent
Scopic Regime and Organised Walking — A Typological Study on the Modern Museum, Bourdieu -- Symbolic capital in museums as a method of oppression
Scopic Regime and Organised Walking — A Typological Study on the Modern Museum, Ritual walk
Scopic Regime and Organised Walking — A Typological Study on the Modern Museum, Linear time as false consciousness
Mass culture, Atomisation
Mass culture, Mass Culture Theory
Mass culture, What is gaga (Halberstam) -- technological perspective
Butterfly effect, Henry poincaré (1854-1912)
Butterfly effect, Edward Lorenz
Butterfly effect, Norbert Wiener
Color of erotica, Color of erotica
George Smith (1840-1876), Gilgamesh
Selective authenticity – continuum of authenticity, Framing selectivities
Selective authenticity – continuum of authenticity, “Camera Always Lies”
Selective authenticity – continuum of authenticity, The camera never lies: The partiality of photographic evidence
Selective authenticity – continuum of authenticity, Soul of Nation
Selective authenticity – continuum of authenticity, Ideology
“Camera Always Lies”, Common sense
“Camera Always Lies”, The camera never lies: The partiality of photographic evidence
Aristotelean virtues, Aristoteles
Idiomedia - The rise of personalised, aggregated content, Hyperreality
Idiomedia - The rise of personalised, aggregated content, Hyperculture
Idiomedia - The rise of personalised, aggregated content, Lev Manovich
Idiomedia - The rise of personalised, aggregated content, Micro-media
Idiomedia - The rise of personalised, aggregated content, Framing selectivities
Idiomedia - The rise of personalised, aggregated content, Ideology
Idiomedia - The rise of personalised, aggregated content, Hegemony
Egalitarism, John Locke
Egalitarism, Jean-Jacques Rousseau
Agency, Free will
READING: René Descartes — Optics, Semiotics
READING: René Descartes — Optics, The Work of Representation
Centrality, Space syntax
